atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,1,1,1,12.011,0.10096203264118436
1,8,0,1,4,0,0,0,0,1,15.999,-0.3883006076531472
2,6,0,2,4,0,0,0,0,2,12.011,0.07136047919864114
3,8,0,1,4,0,0,0,0,1,15.999,-0.3935928597498911
4,6,0,2,4,0,0,0,0,2,12.011,0.08680003259222231
5,8,0,2,4,0,0,0,0,0,15.999,-0.2841830655251979
6,15,0,4,4,0,0,0,1,0,30.974,0.47190783583628737
7,8,0,2,4,0,0,0,0,0,15.999,-0.2829512293933157
8,6,0,2,4,0,0,0,0,2,12.011,0.09906639760350122
9,6,0,3,4,0,0,2,1,1,12.011,0.15953034102602376
10,8,0,2,3,0,0,0,0,0,15.999,-0.45621842036128385
11,6,0,3,3,0,0,0,0,0,12.011,0.3057658216009089
12,6,0,2,4,0,0,0,0,2,12.011,0.04551623840167547
13,6,0,2,4,0,0,0,0,2,12.011,-0.0427831190792017
14,6,0,2,4,0,0,0,0,2,12.011,-0.05274800729363011
15,6,0,2,4,0,0,0,0,2,12.011,-0.05329057095479251
16,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236084003
17,6,0,2,4,0,0,0,0,2,12.011,-0.05330597118459914
18,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278328531
19,6,0,2,4,0,0,0,0,2,12.011,-0.05330597279435892
20,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466
21,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844
22,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
23,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
24,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
25,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
26,8,0,1,3,0,0,0,0,0,15.999,-0.25228433694092306
27,6,0,2,4,0,0,0,0,2,12.011,0.1305566763232179
28,8,0,2,3,0,0,0,0,0,15.999,-0.46162817343596213
29,6,0,3,3,0,0,0,0,0,12.011,0.3054155730404699
30,6,0,2,4,0,0,0,0,2,12.011,0.04550308108716672
31,6,0,2,4,0,0,0,0,2,12.011,-0.04278333797097062
32,6,0,2,4,0,0,0,0,2,12.011,-0.052748008993202346
33,6,0,2,4,0,0,0,0,2,12.011,-0.0532905709611763
34,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236085166
35,6,0,2,4,0,0,0,0,2,12.011,-0.05330597118459915
36,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278327566
37,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789105247
38,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789125355
39,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694
40,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466
41,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844
42,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
43,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
44,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
45,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
46,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155829826
47,8,0,1,3,0,0,0,0,0,15.999,-0.22811485787121957
48,8,0,1,4,0,0,0,0,1,15.999,-0.3024927280727888
