atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.1594008292538349
1,6,0,2,4,0,0,0,0,2,12.011,0.09570182344906342
2,8,0,2,4,0,0,0,0,0,15.999,-0.314376570427909
3,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134
4,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995
5,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724
6,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322
7,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464
8,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672
9,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864
10,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
11,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
12,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
13,8,0,2,3,0,0,0,0,0,15.999,-0.4562206868764916
14,6,0,3,3,0,0,0,0,0,12.011,0.30577736194949656
15,6,0,2,4,0,0,0,0,2,12.011,0.045810164112951995
16,6,0,2,4,0,0,0,0,2,12.011,-0.03930441166960071
17,6,0,2,4,0,0,0,0,2,12.011,-0.03451529830039804
18,6,0,2,3,0,0,0,0,1,12.011,-0.08852353577946467
19,6,0,2,3,0,0,0,0,1,12.011,-0.08853887347825369
20,6,0,2,4,0,0,0,0,2,12.011,-0.03506250806849085
21,6,0,2,4,0,0,0,0,2,12.011,-0.04953014859131356
22,6,0,2,4,0,0,0,0,2,12.011,-0.04952996146381438
23,6,0,2,4,0,0,0,0,2,12.011,-0.035051255841235536
24,6,0,2,3,0,0,0,0,1,12.011,-0.08822729480336054
25,6,0,2,3,0,0,0,0,1,12.011,-0.08475264998709632
26,6,0,2,4,0,0,0,0,2,12.011,-0.016918589762914143
27,6,0,2,3,0,0,0,0,1,12.011,-0.08475265145389169
28,6,0,2,3,0,0,0,0,1,12.011,-0.08822748427126001
29,6,0,2,4,0,0,0,0,2,12.011,-0.035062386030026954
30,6,0,2,4,0,0,0,0,2,12.011,-0.04983488780141361
31,6,0,2,4,0,0,0,0,2,12.011,-0.05327372895608926
32,6,0,2,4,0,0,0,0,2,12.011,-0.056160718138144945
33,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831714015
34,8,0,1,3,0,0,0,0,0,15.999,-0.2522841182227701
35,6,0,2,4,0,0,0,0,2,12.011,0.1305543078860142
36,8,0,2,3,0,0,0,0,0,15.999,-0.4616281938077122
37,6,0,3,3,0,0,0,0,0,12.011,0.30541557297049465
38,6,0,2,4,0,0,0,0,2,12.011,0.045503081087020676
39,6,0,2,4,0,0,0,0,2,12.011,-0.04278333797097075
40,6,0,2,4,0,0,0,0,2,12.011,-0.052748008993202346
41,6,0,2,4,0,0,0,0,2,12.011,-0.0532905709611763
42,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236085166
43,6,0,2,4,0,0,0,0,2,12.011,-0.05330597118459915
44,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278327566
45,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278910524
46,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157
47,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536
48,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694
49,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466
50,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844
51,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
52,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
53,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
54,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
55,8,0,1,3,0,0,0,0,0,15.999,-0.2522976415584404
