atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.15940082766409017
1,6,0,2,4,0,0,0,0,2,12.011,0.09570182344250246
2,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218
3,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134
4,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995
5,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724
6,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322
7,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464
8,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672
9,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864
10,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
11,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
12,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
13,8,0,2,3,0,0,0,0,0,15.999,-0.4562208228961258
14,6,0,3,3,0,0,0,0,0,12.011,0.3057658044200764
15,6,0,2,4,0,0,0,0,2,12.011,0.04551623833314572
16,6,0,2,4,0,0,0,0,2,12.011,-0.0427831176093492
17,6,0,2,4,0,0,0,0,2,12.011,-0.05274782226163418
18,6,0,2,4,0,0,0,0,2,12.011,-0.0532796220319439
19,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096471874
20,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606592
21,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364
22,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828
23,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215615858
24,6,0,2,4,0,0,0,0,2,12.011,-0.03507346739572399
25,6,0,2,4,0,0,0,0,2,12.011,-0.049825018407587185
26,6,0,2,4,0,0,0,0,2,12.011,-0.05301123579864953
27,6,0,2,4,0,0,0,0,2,12.011,-0.05330508334302209
28,6,0,2,4,0,0,0,0,2,12.011,-0.05356845769210082
29,6,0,2,4,0,0,0,0,2,12.011,-0.05617166559353792
30,6,0,1,4,0,0,0,0,3,12.011,-0.06538238321720632
31,8,0,1,3,0,0,0,0,0,15.999,-0.25228433701321973
32,6,0,2,4,0,0,0,0,2,12.011,0.13055430788549444
33,8,0,2,3,0,0,0,0,0,15.999,-0.46162819273494965
34,6,0,3,3,0,0,0,0,0,12.011,0.3054157673392748
35,6,0,2,4,0,0,0,0,2,12.011,0.045514037648736475
36,6,0,2,4,0,0,0,0,2,12.011,-0.042488548257400754
37,6,0,2,4,0,0,0,0,2,12.011,-0.049266908870989834
38,6,0,2,4,0,0,0,0,2,12.011,-0.03504679753867382
39,6,0,2,3,0,0,0,0,1,12.011,-0.08822725747824695
40,6,0,2,3,0,0,0,0,1,12.011,-0.08475245819225966
41,6,0,2,4,0,0,0,0,2,12.011,-0.016907328725637206
42,6,0,2,3,0,0,0,0,1,12.011,-0.08444087689553112
43,6,0,2,3,0,0,0,0,1,12.011,-0.08444087689554174
44,6,0,2,4,0,0,0,0,2,12.011,-0.016907328731486915
45,6,0,2,3,0,0,0,0,1,12.011,-0.08475245979256339
46,6,0,2,3,0,0,0,0,1,12.011,-0.08822748279093617
47,6,0,2,4,0,0,0,0,2,12.011,-0.03506238602438802
48,6,0,2,4,0,0,0,0,2,12.011,-0.049834887801403216
49,6,0,2,4,0,0,0,0,2,12.011,-0.05327372895608925
50,6,0,2,4,0,0,0,0,2,12.011,-0.056160718138144945
51,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831714015
52,8,0,1,3,0,0,0,0,0,15.999,-0.2522976398393695
