atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.15940082767056282
1,6,0,2,4,0,0,0,0,2,12.011,0.09570182344251539
2,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218
3,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134
4,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995
5,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724
6,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322
7,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464
8,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672
9,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864
10,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
11,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
12,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
13,8,0,2,3,0,0,0,0,0,15.999,-0.4562208228961129
14,6,0,3,3,0,0,0,0,0,12.011,0.3057658044200657
15,6,0,2,4,0,0,0,0,2,12.011,0.0455162383275295
16,6,0,2,4,0,0,0,0,2,12.011,-0.042783119079342964
17,6,0,2,4,0,0,0,0,2,12.011,-0.05274800729363024
18,6,0,2,4,0,0,0,0,2,12.011,-0.05329057095479251
19,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236084003
20,6,0,2,4,0,0,0,0,2,12.011,-0.053305971184599135
21,6,0,2,4,0,0,0,0,2,12.011,-0.053305972783275674
22,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789114885
23,6,0,2,4,0,0,0,0,2,12.011,-0.05330597279436938
24,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466
25,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844
26,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
27,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
28,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
29,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
30,8,0,1,3,0,0,0,0,0,15.999,-0.25228433701321973
31,6,0,2,4,0,0,0,0,2,12.011,0.13055430946910393
32,8,0,2,3,0,0,0,0,0,15.999,-0.4616280577987116
33,6,0,3,3,0,0,0,0,0,12.011,0.30542713053207515
34,6,0,2,4,0,0,0,0,2,12.011,0.04579700843431358
35,6,0,2,4,0,0,0,0,2,12.011,-0.03930444194169527
36,6,0,2,4,0,0,0,0,2,12.011,-0.03450404626529186
37,6,0,2,3,0,0,0,0,1,12.011,-0.08821173651239446
38,6,0,2,3,0,0,0,0,1,12.011,-0.08475223916904384
39,6,0,2,4,0,0,0,0,2,12.011,-0.016907327115851974
40,6,0,2,3,0,0,0,0,1,12.011,-0.0844408754091531
41,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523402892
42,6,0,2,4,0,0,0,0,2,12.011,-0.01689606769079498
43,6,0,2,3,0,0,0,0,1,12.011,-0.08444068375360139
44,6,0,2,3,0,0,0,0,1,12.011,-0.08444068375360139
45,6,0,2,4,0,0,0,0,2,12.011,-0.016896067690804678
46,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523928351
47,6,0,2,3,0,0,0,0,1,12.011,-0.0844408768228585
48,6,0,2,4,0,0,0,0,2,12.011,-0.016907502884977985
49,6,0,2,3,0,0,0,0,1,12.011,-0.08476270749375747
50,6,0,2,3,0,0,0,0,1,12.011,-0.08850169801815914
51,6,0,2,4,0,0,0,0,2,12.011,-0.03792128052188181
52,6,0,1,4,0,0,0,0,3,12.011,-0.06188591273721217
53,8,0,1,3,0,0,0,0,0,15.999,-0.25229742278647466
