atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.15974221224334867
1,6,0,2,4,0,0,0,0,2,12.011,0.09571488974182339
2,8,0,2,4,0,0,0,0,0,15.999,-0.3143763375693495
3,15,0,4,4,0,0,0,1,0,30.974,0.26771287206369127
4,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281284264
5,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385659278
6,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532866982
7,6,0,2,4,0,0,0,0,2,12.011,0.10428433404347387
8,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753673
9,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864
10,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
11,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
12,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
13,8,0,2,3,0,0,0,0,0,15.999,-0.45307655857523904
14,6,0,3,3,0,0,0,0,0,12.011,0.33072750328104245
15,6,0,2,3,0,0,0,0,1,12.011,0.02324116472487584
16,6,0,2,3,0,0,0,0,1,12.011,-0.05536433411926781
17,6,0,2,3,0,0,0,0,1,12.011,-0.06601610235427266
18,6,0,2,3,0,0,0,0,1,12.011,-0.08453253818962851
19,6,0,2,4,0,0,0,0,2,12.011,-0.03476061025862164
20,6,0,2,4,0,0,0,0,2,12.011,-0.04981374185779289
21,6,0,2,4,0,0,0,0,2,12.011,-0.05301087582842465
22,6,0,2,4,0,0,0,0,2,12.011,-0.05329502238425582
23,6,0,2,4,0,0,0,0,2,12.011,-0.05330578775103515
24,6,0,2,4,0,0,0,0,2,12.011,-0.05330597131933236
25,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278877652
26,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416582441
27,6,0,2,4,0,0,0,0,2,12.011,-0.05330614506314383
28,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
29,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
30,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
31,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
32,8,0,1,3,0,0,0,0,0,15.999,-0.24691095299536125
33,6,0,2,4,0,0,0,0,2,12.011,0.13056736183111006
34,8,0,2,3,0,0,0,0,0,15.999,-0.46162795804159185
35,6,0,3,3,0,0,0,0,0,12.011,0.3054155746438944
36,6,0,2,4,0,0,0,0,2,12.011,0.04550308109421723
37,6,0,2,4,0,0,0,0,2,12.011,-0.04278333797095707
38,6,0,2,4,0,0,0,0,2,12.011,-0.05274800899320233
39,6,0,2,4,0,0,0,0,2,12.011,-0.0532905709611763
40,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236085166
41,6,0,2,4,0,0,0,0,2,12.011,-0.05330597118459915
42,6,0,2,4,0,0,0,0,2,12.011,-0.053305972783275674
43,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789114885
44,6,0,2,4,0,0,0,0,2,12.011,-0.05330597279436938
45,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466
46,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844
47,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
48,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
49,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
50,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
51,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155142337
