atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063182704,0.024390243902439025
2,6,0,2,4,0,0,0,0,2,12.011,-0.05356864271905036,0.04878048780487805
3,6,0,2,4,0,0,0,0,2,12.011,-0.053316030800072294,0.07317073170731707
4,6,0,2,4,0,0,0,0,2,12.011,-0.053305960030673456,0.0975609756097561
5,6,0,2,4,0,0,0,0,2,12.011,-0.053295025240741124,0.12195121951219512
6,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352997276,0.14634146341463414
7,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703074705,0.17073170731707318
8,6,0,2,4,0,0,0,0,2,12.011,-0.035073467390462444,0.1951219512195122
9,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.21951219512195122
10,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828,0.24390243902439024
11,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364,0.2682926829268293
12,6,0,2,4,0,0,0,0,2,12.011,-0.049825015426065926,0.2926829268292683
13,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096483504,0.3170731707317073
14,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203832768,0.34146341463414637
15,6,0,2,4,0,0,0,0,2,12.011,-0.0527478239612063,0.36585365853658536
16,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097684,0.3902439024390244
17,6,0,2,4,0,0,0,0,2,12.011,0.045503081092782956,0.4146341463414634
18,6,0,3,3,0,0,0,0,0,12.011,0.30541557304048067,0.43902439024390244
19,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155829826,0.4634146341463415
20,8,0,2,3,0,0,0,0,0,15.999,-0.46162817343596213,0.4634146341463415
21,6,0,2,4,0,0,0,0,2,12.011,0.1305566763232179,0.4878048780487805
22,6,0,3,4,0,0,2,1,1,12.011,0.15953034102602376,0.5121951219512195
23,6,0,2,4,0,0,0,0,2,12.011,0.09906639760350122,0.5365853658536586
24,8,0,2,4,0,0,0,0,0,15.999,-0.2829512293933157,0.5609756097560976
25,15,0,4,4,0,0,0,1,0,30.974,0.47190783583628737,0.5853658536585366
26,8,0,1,3,0,0,0,0,0,15.999,-0.22811485787121957,0.6097560975609756
27,8,0,1,4,0,0,0,0,1,15.999,-0.3024927280727888,0.6097560975609756
28,8,0,2,4,0,0,0,0,0,15.999,-0.2841830655251979,0.6097560975609756
29,6,0,2,4,0,0,0,0,2,12.011,0.08680003259222231,0.6341463414634146
30,6,0,3,4,0,0,1,1,1,12.011,0.10096203264118436,0.6585365853658537
31,8,0,1,4,0,0,0,0,1,15.999,-0.3883006076531472,0.6829268292682927
32,6,0,2,4,0,0,0,0,2,12.011,0.07136047919864114,0.6829268292682927
33,8,0,1,4,0,0,0,0,1,15.999,-0.3935928597498911,0.7073170731707317
34,8,0,2,3,0,0,0,0,0,15.999,-0.4562184203612838,0.5365853658536586
35,6,0,3,3,0,0,0,0,0,12.011,0.30576582160091964,0.5609756097560976
36,8,0,1,3,0,0,0,0,0,15.999,-0.25228433694092306,0.5853658536585366
37,6,0,2,4,0,0,0,0,2,12.011,0.045516238407291715,0.5853658536585366
38,6,0,2,4,0,0,0,0,2,12.011,-0.042783117609207943,0.6097560975609756
39,6,0,2,4,0,0,0,0,2,12.011,-0.05274782226163406,0.6341463414634146
40,6,0,2,4,0,0,0,0,2,12.011,-0.0532796220319439,0.6585365853658537
41,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096471874,0.6829268292682927
42,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606592,0.7073170731707317
43,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364,0.7317073170731707
44,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828,0.7560975609756098
45,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.7804878048780488
46,6,0,2,4,0,0,0,0,2,12.011,-0.035073467390462444,0.8048780487804879
47,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703074705,0.8292682926829268
48,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352997276,0.8536585365853658
49,6,0,2,4,0,0,0,0,2,12.011,-0.053295025240741124,0.8780487804878049
50,6,0,2,4,0,0,0,0,2,12.011,-0.053305960030673456,0.9024390243902439
51,6,0,2,4,0,0,0,0,2,12.011,-0.053316030800072294,0.926829268292683
52,6,0,2,4,0,0,0,0,2,12.011,-0.05356864271905036,0.9512195121951219
53,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063182704,0.975609756097561
54,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
