label,exclusion_set,seed,axis,test_isolation,test_cross_mean,test_seen_lipid_share,test_protein_isolation,test_protein_cross_mean,test_block_proteins,test_train_proteins,protein_descriptors,valid_isolation,valid_cross_mean,valid_seen_lipid_share,valid_protein_isolation,train_rows,valid_rows,test_rows,test_positives,test_positive_rate,test_proteins,train_positives,test_block_structures,test_train_structures,TP,FP,TN,FN,balanced_accuracy,F1,TP_share,FP_share,TN_share,FN_share
bbp_nps3mlp_dpt01_gm,groups_scp2,1,protein_coldsplit,0.9990876317024231,0.6578195095062256,0.984375,0.6511013099375234,0.3636254501039679,3,32,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",1.0,0.6002412438392639,1.0,0.6511013099375234,1773,65,64,21,0.328125,3,591,288,1224,23.0,13.0,4.0,3.0,0.559955,0.741935,0.5348837209302325,0.3023255813953488,0.09302325581395349,0.06976744186046512
bbp_nps3mlp_dpt01_gm,groups_CRAL-TRIO,0,protein_coldsplit,1.0,0.6384804844856262,1.0,0.7118502106831419,0.40630105752756845,8,26,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",1.0,0.6456271409988403,1.0,0.7165206455807684,1407,247,248,83,0.3346774193548387,8,469,881,1223,90.0,39.0,65.0,10.0,0.7625,0.786026,0.4411764705882353,0.19117647058823528,0.31862745098039214,0.049019607843137254
bbp_nps3mlp_dpt01_gm,groups_GLTP,0,protein_coldsplit,1.0,0.5730177164077759,0.989247311827957,0.7114846758916042,0.4235199654501848,2,33,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",1.0,0.6121950745582581,1.0,0.7114846758916042,1716,93,93,31,0.3333333333333333,2,572,280,1225,0.0,4.0,33.0,44.0,0.445946,0.0,0.0,0.04938271604938271,0.4074074074074074,0.5432098765432098
bbp_nps3mlp_dpt01_gm,groups_IP_trans,0,protein_coldsplit,1.0,0.670493483543396,1.0,0.6479859994938734,0.34220636532332244,3,32,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",1.0,0.6645010113716125,1.0,0.6479859994938734,1728,87,87,29,0.3333333333333333,3,576,478,1226,16.0,4.0,31.0,14.0,0.709524,0.64,0.24615384615384617,0.06153846153846154,0.47692307692307695,0.2153846153846154
bbp_nps3mlp_dpt01_gm,groups_LBP_BPI_CETP,0,protein_coldsplit,1.0,0.6405077576637268,1.0,0.7859853755058378,0.4449864323794418,2,33,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",1.0,0.6623252034187317,1.0,0.7859853755058378,1743,79,80,27,0.3375,2,581,463,1226,18.0,11.0,20.0,6.0,0.697581,0.679245,0.32727272727272727,0.2,0.36363636363636365,0.10909090909090909
bbp_nps3mlp_dpt01_gm,groups_ML,0,protein_coldsplit,1.0,0.5857534408569336,1.0,0.6716915178435702,0.36259798605864413,1,34,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",1.0,0.6522209048271179,1.0,0.6716915178435702,1872,15,15,5,0.3333333333333333,1,624,73,1226,3.0,1.0,4.0,2.0,0.7,0.666667,0.3,0.1,0.4,0.2
bbp_nps3mlp_dpt01_gm,groups_OSBP,0,protein_coldsplit,1.0,0.5661230087280273,1.0,0.6493468949501701,0.3311155807931421,2,33,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",1.0,0.5212501287460327,1.0,0.6493468949501701,1884,9,9,3,0.3333333333333333,2,628,23,1226,3.0,3.0,1.0,1.0,0.5,0.6,0.375,0.375,0.125,0.125
bbp_nps3mlp_dpt01_gm,groups_START,0,protein_coldsplit,1.0,0.6452842354774475,0.9955555555555555,0.7922438654527277,0.455938345575936,3,32,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",1.0,0.6397925019264221,1.0,0.7922438654527277,1452,225,225,75,0.3333333333333333,3,484,824,1222,43.0,36.0,65.0,56.0,0.538954,0.483146,0.215,0.18,0.325,0.28
bbp_nps3mlp_dpt01_gm,groups_lipocalin,0,protein_coldsplit,1.0,0.6351047158241272,1.0,0.6929240152450489,0.3962927398262382,10,25,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",1.0,0.6282540559768677,1.0,0.6929240152450489,1641,131,130,43,0.33076923076923076,10,547,500,1226,19.0,13.0,26.0,32.0,0.519608,0.457831,0.2111111111111111,0.14444444444444443,0.28888888888888886,0.35555555555555557
bbp_nps3mlp_dpt01_gm,groups_scp2,0,protein_coldsplit,1.0,0.6059263348579407,1.0,0.6511013099375234,0.3636254501039679,3,32,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim,ev28_q10,aromatic_share_rim,depth_q10,hydropathy_core,ev14_q10,hydropathy_mean,pocket_extent",1.0,0.600516676902771,1.0,0.6511013099375234,1773,65,64,21,0.328125,3,591,213,1226,19.0,14.0,6.0,4.0,0.563043,0.678571,0.4418604651162791,0.32558139534883723,0.13953488372093023,0.09302325581395349
