atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.065371434292695,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.055876722330081764,0.02857142857142857
2,6,0,2,4,0,0,0,0,2,12.011,-0.05008764720437865,0.05714285714285714
3,6,0,2,4,0,0,0,0,2,12.011,-0.03508353483841016,0.08571428571428572
4,6,0,2,3,0,0,0,0,1,12.011,-0.08853945726910752,0.11428571428571428
5,6,0,2,3,0,0,0,0,1,12.011,-0.08853928352510519,0.14285714285714285
6,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738986101,0.17142857142857143
7,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542607562,0.2
8,6,0,2,4,0,0,0,0,2,12.011,-0.05301084309648352,0.22857142857142856
9,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203832768,0.2571428571428571
10,6,0,2,4,0,0,0,0,2,12.011,-0.0527478239612063,0.2857142857142857
11,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097698,0.3142857142857143
12,6,0,2,4,0,0,0,0,2,12.011,0.045503081092636906,0.34285714285714286
13,6,0,3,3,0,0,0,0,0,12.011,0.30541557297050537,0.37142857142857144
14,8,0,1,3,0,0,0,0,0,15.999,-0.2522976415584404,0.4
15,8,0,2,3,0,0,0,0,0,15.999,-0.46162819380772513,0.4
16,6,0,2,4,0,0,0,0,2,12.011,0.13055430787945388,0.42857142857142855
17,6,0,3,4,0,0,2,1,1,12.011,0.15940082766407826,0.45714285714285713
18,6,0,2,4,0,0,0,0,2,12.011,0.09570182344250244,0.4857142857142857
19,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218,0.5142857142857142
20,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134,0.5428571428571428
21,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995,0.5714285714285714
22,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724,0.5714285714285714
23,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322,0.5714285714285714
24,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464,0.6
25,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672,0.6285714285714286
26,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.6571428571428571
27,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6857142857142857
28,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6857142857142857
29,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6857142857142857
30,8,0,2,3,0,0,0,0,0,15.999,-0.45622082289612587,0.4857142857142857
31,6,0,3,3,0,0,0,0,0,12.011,0.3057658044200764,0.5142857142857142
32,8,0,1,3,0,0,0,0,0,15.999,-0.25228433701321973,0.5428571428571428
33,6,0,2,4,0,0,0,0,2,12.011,0.04551623833314572,0.5428571428571428
34,6,0,2,4,0,0,0,0,2,12.011,-0.0427831176093492,0.5714285714285714
35,6,0,2,4,0,0,0,0,2,12.011,-0.05274782226163418,0.6
36,6,0,2,4,0,0,0,0,2,12.011,-0.0532796220319439,0.6285714285714286
37,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096471874,0.6571428571428571
38,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606592,0.6857142857142857
39,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364,0.7142857142857143
40,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828,0.7428571428571429
41,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.7714285714285715
42,6,0,2,4,0,0,0,0,2,12.011,-0.0350734673904721,0.8
43,6,0,2,4,0,0,0,0,2,12.011,-0.049825017035991674,0.8285714285714286
44,6,0,2,4,0,0,0,0,2,12.011,-0.053011064901440766,0.8571428571428571
45,6,0,2,4,0,0,0,0,2,12.011,-0.053295196138035676,0.8857142857142857
46,6,0,2,4,0,0,0,0,2,12.011,-0.053315847237370526,0.9142857142857143
47,6,0,2,4,0,0,0,0,2,12.011,-0.05356864125486327,0.9428571428571428
48,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057600655,0.9714285714285714
49,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278243,1.0
