atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278243,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057600655,0.02857142857142857
2,6,0,2,4,0,0,0,0,2,12.011,-0.05356864125486327,0.05714285714285714
3,6,0,2,4,0,0,0,0,2,12.011,-0.053315847237370526,0.08571428571428572
4,6,0,2,4,0,0,0,0,2,12.011,-0.053295196138035676,0.11428571428571428
5,6,0,2,4,0,0,0,0,2,12.011,-0.053011064901440766,0.14285714285714285
6,6,0,2,4,0,0,0,0,2,12.011,-0.049825017035991674,0.17142857142857143
7,6,0,2,4,0,0,0,0,2,12.011,-0.0350734673904721,0.2
8,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.22857142857142856
9,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613832,0.2571428571428571
10,6,0,2,4,0,0,0,0,2,12.011,-0.035073467384674636,0.2857142857142857
11,6,0,2,4,0,0,0,0,2,12.011,-0.049825015459258125,0.3142857142857143
12,6,0,2,4,0,0,0,0,2,12.011,-0.053010851810008204,0.34285714285714286
13,6,0,2,4,0,0,0,0,2,12.011,-0.053280716789206206,0.37142857142857144
14,6,0,2,4,0,0,0,0,2,12.011,-0.052812308017489866,0.4
15,6,0,2,4,0,0,0,0,2,12.011,-0.04449607820240007,0.42857142857142855
16,6,0,2,4,0,0,0,0,2,12.011,0.02647634056467688,0.45714285714285713
17,6,0,3,3,0,0,0,0,0,12.011,0.21988066411124918,0.4857142857142857
18,8,0,1,3,0,0,0,0,0,15.999,-0.27513221754562295,0.5142857142857142
19,7,0,2,3,0,0,0,0,1,14.007,-0.34842664637141113,0.5142857142857142
20,6,0,3,4,0,0,1,1,1,12.011,0.07817296503725035,0.5428571428571428
21,6,0,2,4,0,0,0,0,2,12.011,0.07267224419883422,0.5714285714285714
22,8,0,2,4,0,0,0,0,0,15.999,-0.3476336176500297,0.6
23,6,0,3,4,0,1,2,1,1,12.011,0.18623726985119315,0.6285714285714286
24,8,0,2,4,0,1,0,0,0,15.999,-0.34139729589118656,0.6571428571428571
25,6,0,3,4,0,1,2,1,1,12.011,0.1122880894792693,0.6857142857142857
26,6,0,2,4,0,0,0,0,2,12.011,0.07213220226038916,0.7142857142857143
27,8,0,1,4,0,0,0,0,1,15.999,-0.393566515099624,0.7428571428571429
28,6,0,3,4,0,1,1,1,1,12.011,0.11109641054630277,0.7142857142857143
29,8,0,1,4,0,0,0,0,1,15.999,-0.3874976331817879,0.7428571428571429
30,6,0,3,4,0,1,2,1,1,12.011,0.11334314838250532,0.6857142857142857
31,8,0,1,4,0,0,0,0,1,15.999,-0.3873949552483754,0.7142857142857143
32,6,0,3,4,0,1,1,1,1,12.011,0.1332524101997138,0.6571428571428571
33,8,0,1,4,0,0,0,0,1,15.999,-0.384985343956357,0.6857142857142857
34,6,0,3,4,0,0,2,1,1,12.011,0.0764309039995932,0.5714285714285714
35,8,0,1,4,0,0,0,0,1,15.999,-0.39089776644346197,0.6
36,6,0,2,4,0,0,0,0,2,12.011,-0.024886607272573764,0.6
37,6,0,2,4,0,0,0,0,2,12.011,-0.05076565204863193,0.6285714285714286
38,6,0,2,4,0,0,0,0,2,12.011,-0.05320973197732094,0.6571428571428571
39,6,0,2,4,0,0,0,0,2,12.011,-0.053304332270731086,0.6857142857142857
40,6,0,2,4,0,0,0,0,2,12.011,-0.053305959706312724,0.7142857142857143
41,6,0,2,4,0,0,0,0,2,12.011,-0.05330597273923926,0.7428571428571429
42,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278902414,0.7714285714285715
43,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789125286,0.8
44,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.8285714285714286
45,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.8571428571428571
46,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.8857142857142857
47,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9142857142857143
48,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9428571428571428
49,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9714285714285714
50,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
