atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.1592489388377235
1,6,0,2,4,0,0,0,0,2,12.011,0.09569907683484018
2,8,0,2,4,0,0,0,0,0,15.999,-0.3143765936084576
3,15,0,4,4,0,0,0,1,0,30.974,0.267712870347557
4,8,0,1,3,0,0,0,0,0,15.999,-0.2763272628193479
5,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385700664
6,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532908261
7,6,0,2,4,0,0,0,0,2,12.011,0.10428433404346389
8,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672
9,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864
10,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
11,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
12,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
13,8,0,2,3,0,0,0,0,0,15.999,-0.45622360756917085
14,6,0,3,3,0,0,0,0,0,12.011,0.3057657846138977
15,6,0,2,4,0,0,0,0,2,12.011,0.04551623824227481
16,6,0,2,4,0,0,0,0,2,12.011,-0.04278311907950519
17,6,0,2,4,0,0,0,0,2,12.011,-0.05274800729363038
18,6,0,2,4,0,0,0,0,2,12.011,-0.05329057095480217
19,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236609371
20,6,0,2,4,0,0,0,0,2,12.011,-0.05330597256131809
21,6,0,2,4,0,0,0,0,2,12.011,-0.0533061450573038
22,6,0,2,4,0,0,0,0,2,12.011,-0.053316032269844583
23,6,0,2,4,0,0,0,0,2,12.011,-0.0535686427246432
24,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
25,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
26,8,0,1,3,0,0,0,0,0,15.999,-0.2522843370963475
27,6,0,2,4,0,0,0,0,2,12.011,0.12655687064350438
28,8,0,2,3,0,0,0,0,0,15.999,-0.4975682003264012
29,6,0,2,3,0,0,0,0,1,12.011,0.0790670855372199
30,6,0,2,3,0,0,0,0,1,12.011,-0.04984101624423636
31,6,0,2,4,0,0,0,0,2,12.011,-0.031756500316899916
32,6,0,2,4,0,0,0,0,2,12.011,-0.04970090258298738
33,6,0,2,4,0,0,0,0,2,12.011,-0.053008963417219064
34,6,0,2,4,0,0,0,0,2,12.011,-0.05329500718219151
35,6,0,2,4,0,0,0,0,2,12.011,-0.05330578769317132
36,6,0,2,4,0,0,0,0,2,12.011,-0.05330597131921655
37,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278352274
38,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278910546
39,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157
40,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278911572
41,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536
42,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694
43,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466
44,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844
45,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
46,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
47,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
48,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
