atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831714015,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056160718138144945,0.02631578947368421
2,6,0,2,4,0,0,0,0,2,12.011,-0.05327372895608926,0.05263157894736842
3,6,0,2,4,0,0,0,0,2,12.011,-0.04983488780141361,0.07894736842105263
4,6,0,2,4,0,0,0,0,2,12.011,-0.035062386030026954,0.10526315789473684
5,6,0,2,3,0,0,0,0,1,12.011,-0.08822748427126001,0.13157894736842105
6,6,0,2,3,0,0,0,0,1,12.011,-0.0847526514539021,0.15789473684210525
7,6,0,2,4,0,0,0,0,2,12.011,-0.016918589768507436,0.18421052631578946
8,6,0,2,3,0,0,0,0,1,12.011,-0.08475265144869658,0.21052631578947367
9,6,0,2,3,0,0,0,0,1,12.011,-0.0882274828770543,0.23684210526315788
10,6,0,2,4,0,0,0,0,2,12.011,-0.03506221354173479,0.2631578947368421
11,6,0,2,4,0,0,0,0,2,12.011,-0.0498248268029646,0.2894736842105263
12,6,0,2,4,0,0,0,0,2,12.011,-0.05301084160697741,0.3157894736842105
13,6,0,2,4,0,0,0,0,2,12.011,-0.05327962202629522,0.34210526315789475
14,6,0,2,4,0,0,0,0,2,12.011,-0.052747822261623833,0.3684210526315789
15,6,0,2,4,0,0,0,0,2,12.011,-0.0427831176093492,0.39473684210526316
16,6,0,2,4,0,0,0,0,2,12.011,0.04551623833314572,0.42105263157894735
17,6,0,3,3,0,0,0,0,0,12.011,0.3057658044200764,0.4473684210526316
18,8,0,1,3,0,0,0,0,0,15.999,-0.25228433701321973,0.47368421052631576
19,8,0,2,3,0,0,0,0,0,15.999,-0.45622082289612587,0.47368421052631576
20,6,0,3,4,0,0,2,1,1,12.011,0.15940082766407826,0.5
21,6,0,2,4,0,0,0,0,2,12.011,0.13055430787945388,0.5263157894736842
22,8,0,2,3,0,0,0,0,0,15.999,-0.46162819380772513,0.5526315789473685
23,6,0,3,3,0,0,0,0,0,12.011,0.30541557297049465,0.5789473684210527
24,8,0,1,3,0,0,0,0,0,15.999,-0.2522976415584404,0.6052631578947368
25,6,0,2,4,0,0,0,0,2,12.011,0.045503081087020676,0.6052631578947368
26,6,0,2,4,0,0,0,0,2,12.011,-0.04278333797097075,0.631578947368421
27,6,0,2,4,0,0,0,0,2,12.011,-0.052748008993202346,0.6578947368421053
28,6,0,2,4,0,0,0,0,2,12.011,-0.0532905709611763,0.6842105263157895
29,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236085166,0.7105263157894737
30,6,0,2,4,0,0,0,0,2,12.011,-0.05330597118459915,0.7368421052631579
31,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278327566,0.7631578947368421
32,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789105247,0.7894736842105263
33,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789125355,0.8157894736842105
34,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.8421052631578947
35,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.868421052631579
36,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.8947368421052632
37,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9210526315789473
38,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9473684210526315
39,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9736842105263158
40,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
41,6,0,2,4,0,0,0,0,2,12.011,0.09570182344250244,0.5263157894736842
42,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218,0.5526315789473685
43,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134,0.5789473684210527
44,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995,0.6052631578947368
45,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724,0.6052631578947368
46,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322,0.6052631578947368
47,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464,0.631578947368421
48,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672,0.6578947368421053
49,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.6842105263157895
50,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7105263157894737
51,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7105263157894737
52,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7105263157894737
