atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.065371434292695,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.055876722330081764,0.02631578947368421
2,6,0,2,4,0,0,0,0,2,12.011,-0.05008764720437865,0.05263157894736842
3,6,0,2,4,0,0,0,0,2,12.011,-0.03508353483841016,0.07894736842105263
4,6,0,2,3,0,0,0,0,1,12.011,-0.08853945726910752,0.10526315789473684
5,6,0,2,3,0,0,0,0,1,12.011,-0.08853928352510519,0.13157894736842105
6,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738986101,0.15789473684210525
7,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542607562,0.18421052631578946
8,6,0,2,4,0,0,0,0,2,12.011,-0.05301084309648352,0.21052631578947367
9,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203832768,0.23684210526315788
10,6,0,2,4,0,0,0,0,2,12.011,-0.0527478239612063,0.2631578947368421
11,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097698,0.2894736842105263
12,6,0,2,4,0,0,0,0,2,12.011,0.045503081092636906,0.3157894736842105
13,6,0,3,3,0,0,0,0,0,12.011,0.30541557297050537,0.34210526315789475
14,8,0,1,3,0,0,0,0,0,15.999,-0.2522976415584404,0.3684210526315789
15,8,0,2,3,0,0,0,0,0,15.999,-0.46162819380772513,0.3684210526315789
16,6,0,2,4,0,0,0,0,2,12.011,0.13055430787945388,0.39473684210526316
17,6,0,3,4,0,0,2,1,1,12.011,0.15940082766407826,0.42105263157894735
18,6,0,2,4,0,0,0,0,2,12.011,0.09570182344250244,0.4473684210526316
19,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218,0.47368421052631576
20,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134,0.5
21,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995,0.5263157894736842
22,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724,0.5263157894736842
23,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322,0.5263157894736842
24,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464,0.5526315789473685
25,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672,0.5789473684210527
26,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.6052631578947368
27,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.631578947368421
28,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.631578947368421
29,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.631578947368421
30,8,0,2,3,0,0,0,0,0,15.999,-0.45622082289612587,0.4473684210526316
31,6,0,3,3,0,0,0,0,0,12.011,0.3057658044200656,0.47368421052631576
32,8,0,1,3,0,0,0,0,0,15.999,-0.25228433701321973,0.5
33,6,0,2,4,0,0,0,0,2,12.011,0.0455162383275295,0.5
34,6,0,2,4,0,0,0,0,2,12.011,-0.042783119079342964,0.5263157894736842
35,6,0,2,4,0,0,0,0,2,12.011,-0.05274800729363024,0.5526315789473685
36,6,0,2,4,0,0,0,0,2,12.011,-0.05329057095479251,0.5789473684210527
37,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236084003,0.6052631578947368
38,6,0,2,4,0,0,0,0,2,12.011,-0.053305971184599135,0.631578947368421
39,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278327566,0.6578947368421053
40,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278910524,0.6842105263157895
41,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.7105263157894737
42,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.7368421052631579
43,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.7631578947368421
44,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278911572,0.7894736842105263
45,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536,0.8157894736842105
46,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.8421052631578947
47,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.868421052631579
48,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.8947368421052632
49,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9210526315789473
50,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9473684210526315
51,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9736842105263158
52,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
