label,exclusion_set,seed,axis,test_isolation,test_cross_mean,test_seen_lipid_share,test_protein_isolation,test_protein_cross_mean,test_block_proteins,test_train_proteins,protein_descriptors,valid_isolation,valid_cross_mean,valid_seen_lipid_share,valid_protein_isolation,train_rows,valid_rows,test_rows,test_positives,test_positive_rate,test_proteins,train_positives,test_block_structures,test_train_structures,TP,FP,TN,FN,balanced_accuracy,F1,TP_share,FP_share,TN_share,FN_share
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_GLTP,2,double_coldsplit,0.5504668951034546,0.3460753262042999,0.0,0.6515254427241066,0.3689321096002963,2,33,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.5706102848052979,0.37191200256347656,0.0,0.6515254427241066,1713,52,50,25,0.5,2,571,84,1114,0.0,1.0,24.0,25.0,0.48,0.0,0.0,0.02,0.48,0.5
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_GLTP,3,double_coldsplit,0.5533061027526855,0.34910982847213745,0.0,0.6515254427241066,0.3689321096002963,2,33,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.568153440952301,0.3721805214881897,0.0,0.6515254427241066,1713,52,50,25,0.5,2,571,86,1114,6.0,10.0,15.0,19.0,0.42,0.292683,0.12,0.2,0.3,0.38
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_GLTP,4,double_coldsplit,0.5611492395401001,0.361214816570282,0.0,0.6515254427241066,0.3689321096002963,2,33,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.5729055404663086,0.37192028760910034,0.0,0.6515254427241066,1713,52,50,25,0.5,2,571,86,1114,6.0,9.0,16.0,19.0,0.44,0.3,0.12,0.18,0.32,0.38
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_GLTP,1,double_coldsplit,0.5654232501983643,0.3665548861026764,0.0,0.6515254427241066,0.3689321096002963,2,33,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.5451416969299316,0.34108948707580566,0.0,0.6515254427241066,1713,52,50,25,0.5,2,571,82,1114,5.0,7.0,18.0,20.0,0.46,0.27027,0.1,0.14,0.36,0.4
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_GLTP,0,double_coldsplit,0.5718403458595276,0.3740769326686859,0.0,0.6515254427241066,0.3689321096002963,2,33,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.5444141626358032,0.3337828516960144,0.0,0.6515254427241066,1713,52,50,25,0.5,2,571,83,1114,25.0,25.0,0.0,0.0,0.5,0.666667,0.5,0.5,0.0,0.0
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_CRAL-TRIO,3,double_coldsplit,0.7780174016952515,0.5260414481163025,0.0,0.7851000442582659,0.4063674586071483,6,23,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7853944897651672,0.5265450477600098,0.0,0.7851000442582659,1044,129,128,67,0.5234375,6,350,251,937,16.0,15.0,46.0,51.0,0.496452,0.326531,0.125,0.1171875,0.359375,0.3984375
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_CRAL-TRIO,0,double_coldsplit,0.7811253666877747,0.5244553685188293,0.0,0.7851000442582659,0.4063674586071483,6,23,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7878151535987854,0.5255993604660034,0.0,0.7851000442582659,1044,129,128,67,0.5234375,6,350,246,937,6.0,5.0,56.0,61.0,0.503793,0.153846,0.046875,0.0390625,0.4375,0.4765625
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_CRAL-TRIO,1,double_coldsplit,0.7846261262893677,0.5289716124534607,0.0,0.7851000442582659,0.4063674586071483,6,23,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7826128005981445,0.5278664827346802,0.0,0.7851000442582659,1044,129,128,67,0.5234375,6,350,251,937,32.0,11.0,50.0,35.0,0.648642,0.581818,0.25,0.0859375,0.390625,0.2734375
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_CRAL-TRIO,4,double_coldsplit,0.7860174775123596,0.5296107530593872,0.0,0.7851000442582659,0.4063674586071483,6,23,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7918075919151306,0.5293230414390564,0.0,0.7659231483552852,1044,129,128,67,0.5234375,6,350,267,937,37.0,23.0,38.0,30.0,0.587595,0.582677,0.2890625,0.1796875,0.296875,0.234375
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_CRAL-TRIO,2,double_coldsplit,0.7864366173744202,0.5288648009300232,0.0,0.7851000442582659,0.4063674586071483,6,23,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7830600142478943,0.5284237861633301,0.0,0.7851000442582659,1044,129,128,67,0.5234375,6,350,242,937,0.0,0.0,61.0,67.0,0.5,0.0,0.0,0.0,0.4765625,0.5234375
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_START,1,double_coldsplit,0.7909688353538513,0.5037722587585449,0.0,0.8989338638352503,0.48186026425773726,3,28,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7913306355476379,0.5000160932540894,0.0,0.8989338638352503,879,153,154,65,0.42207792207792205,3,293,680,400,10.0,7.0,82.0,55.0,0.537597,0.243902,0.06493506493506493,0.045454545454545456,0.5324675324675324,0.35714285714285715
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_START,3,double_coldsplit,0.7917987704277039,0.5014299154281616,0.0,0.8989338638352503,0.48186026425773726,3,28,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7933385372161865,0.5034323930740356,0.0,0.8989338638352503,879,153,154,65,0.42207792207792205,3,293,646,400,25.0,56.0,33.0,40.0,0.377701,0.342466,0.16233766233766234,0.36363636363636365,0.21428571428571427,0.2597402597402597
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_LBP_BPI_CETP,3,double_coldsplit,0.7920119166374207,0.4965505301952362,0.0,0.7859281471157089,0.4711242342355067,2,28,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7932193279266357,0.49628618359565735,0.0,0.7859281471157089,1164,71,70,23,0.32857142857142857,2,388,487,435,15.0,20.0,27.0,8.0,0.613321,0.517241,0.21428571428571427,0.2857142857142857,0.38571428571428573,0.11428571428571428
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_LBP_BPI_CETP,1,double_coldsplit,0.79254150390625,0.4973534047603607,0.0,0.7859281471157089,0.4711242342355067,2,28,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7954893708229065,0.49604105949401855,0.0,0.7859281471157089,1164,71,70,23,0.32857142857142857,2,388,469,435,10.0,6.0,41.0,13.0,0.653562,0.512821,0.14285714285714285,0.08571428571428572,0.5857142857142857,0.18571428571428572
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_lipocalin,1,double_coldsplit,0.7926064729690552,0.5029802918434143,0.0,0.7439691115543982,0.3958150066098838,8,21,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.785979151725769,0.5006834864616394,0.0,0.8240106777147131,981,108,108,36,0.3333333333333333,8,327,471,466,36.0,72.0,0.0,0.0,0.5,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_IP_trans,3,double_coldsplit,0.7926449775695801,0.5008037686347961,0.0,0.7039371152882749,0.3883641548639633,3,29,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7926505208015442,0.49703723192214966,0.0,0.7039371152882749,1089,71,70,23,0.32857142857142857,3,363,466,435,12.0,16.0,31.0,11.0,0.590657,0.470588,0.17142857142857143,0.22857142857142856,0.44285714285714284,0.15714285714285714
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_IP_trans,1,double_coldsplit,0.7927776575088501,0.49966710805892944,0.0,0.7039371152882749,0.3883641548639633,3,29,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7895536422729492,0.495665043592453,0.0,0.7039371152882749,1089,71,70,23,0.32857142857142857,3,363,518,435,15.0,13.0,34.0,8.0,0.687789,0.588235,0.21428571428571427,0.18571428571428572,0.4857142857142857,0.11428571428571428
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_START,0,double_coldsplit,0.7932908535003662,0.5006573796272278,0.0,0.8989338638352503,0.48186026425773726,3,28,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7940905690193176,0.5041843056678772,0.0,0.8989338638352503,879,153,154,65,0.42207792207792205,3,293,581,400,65.0,89.0,0.0,0.0,0.5,0.593607,0.42207792207792205,0.577922077922078,0.0,0.0
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_LBP_BPI_CETP,2,double_coldsplit,0.7933973073959351,0.49853432178497314,0.0,0.7859281471157089,0.4711242342355067,2,28,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7947764992713928,0.49923792481422424,0.0,0.7859281471157089,1164,71,70,23,0.32857142857142857,2,388,509,435,2.0,2.0,45.0,21.0,0.522202,0.148148,0.02857142857142857,0.02857142857142857,0.6428571428571429,0.3
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_IP_trans,0,double_coldsplit,0.7937148809432983,0.4956369698047638,0.0,0.7039371152882749,0.3883641548639633,3,29,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7918747067451477,0.49544763565063477,0.0,0.7039371152882749,1089,71,70,23,0.32857142857142857,3,363,516,435,12.0,18.0,29.0,11.0,0.56938,0.45283,0.17142857142857143,0.2571428571428571,0.4142857142857143,0.15714285714285714
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_IP_trans,4,double_coldsplit,0.7939918041229248,0.5002725124359131,0.0,0.7039371152882749,0.3883641548639633,3,29,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.793385922908783,0.496542751789093,0.0,0.7039371152882749,1089,71,70,23,0.32857142857142857,3,363,483,435,5.0,6.0,41.0,18.0,0.544866,0.294118,0.07142857142857142,0.08571428571428572,0.5857142857142857,0.2571428571428571
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_IP_trans,2,double_coldsplit,0.7941288948059082,0.4964599609375,0.0,0.7039371152882749,0.3883641548639633,3,29,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7959628701210022,0.49922603368759155,0.0,0.7039371152882749,1089,71,70,23,0.32857142857142857,3,363,525,435,4.0,5.0,42.0,19.0,0.533765,0.25,0.05714285714285714,0.07142857142857142,0.6,0.2714285714285714
geometric_edge_attention_protgeom_family_neutral_normalized_bilinear_fusion_bilinear_norm,groups_lipocalin,4,double_coldsplit,0.7944253087043762,0.5030257701873779,0.0,0.7530717484987116,0.41365950530027995,9,21,"pocket_volume_per_sasa,pocket_elongation,pocket_flatness,buriedness_q50,apolar_sasa_share,aromatic_share,hydropathy_rim",0.7935843467712402,0.5046306848526001,0.0,0.7439691115543982,981,108,108,36,0.3333333333333333,9,327,427,466,1.0,1.0,71.0,35.0,0.506944,0.052632,0.009259259259259259,0.009259259259259259,0.6574074074074074,0.32407407407407407
