atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063182704,0.030303030303030304
2,6,0,2,4,0,0,0,0,2,12.011,-0.05356864271905036,0.06060606060606061
3,6,0,2,4,0,0,0,0,2,12.011,-0.05331603080007222,0.09090909090909091
4,6,0,2,4,0,0,0,0,2,12.011,-0.05330596003058332,0.12121212121212122
5,6,0,2,4,0,0,0,0,2,12.011,-0.05329502519155384,0.15151515151515152
6,6,0,2,4,0,0,0,0,2,12.011,-0.05301105058236723,0.18181818181818182
7,6,0,2,4,0,0,0,0,2,12.011,-0.04982338336897504,0.21212121212121213
8,6,0,2,4,0,0,0,0,2,12.011,-0.03497676143234175,0.24242424242424243
9,6,0,2,3,0,0,0,0,1,12.011,-0.08590737994694046,0.2727272727272727
10,6,0,2,3,0,0,0,0,1,12.011,-0.058060942019770204,0.30303030303030304
11,6,0,3,4,0,0,1,1,1,12.011,0.09450544248929484,0.3333333333333333
12,8,0,1,4,0,0,0,0,1,15.999,-0.38679982119531686,0.36363636363636365
13,6,0,3,4,0,0,2,1,1,12.011,0.08187223479734604,0.36363636363636365
14,6,0,2,4,0,0,0,0,2,12.011,0.07300069864423585,0.3939393939393939
15,8,0,2,4,0,0,0,0,0,15.999,-0.3476203591014967,0.42424242424242425
16,6,0,3,4,0,1,2,1,1,12.011,0.18623756572818648,0.45454545454545453
17,8,0,2,4,0,1,0,0,0,15.999,-0.34139729329150603,0.48484848484848486
18,6,0,3,4,0,1,2,1,1,12.011,0.11228808949242253,0.5151515151515151
19,6,0,2,4,0,0,0,0,2,12.011,0.07213220226041495,0.5454545454545454
20,8,0,1,4,0,0,0,0,1,15.999,-0.393566515099624,0.5757575757575758
21,6,0,3,4,0,1,1,1,1,12.011,0.11109641054634938,0.5454545454545454
22,8,0,1,4,0,0,0,0,1,15.999,-0.3874976331817879,0.5757575757575758
23,6,0,3,4,0,1,2,1,1,12.011,0.11334314839311219,0.5151515151515151
24,8,0,1,4,0,0,0,0,1,15.999,-0.38739495524835454,0.5454545454545454
25,6,0,3,4,0,1,1,1,1,12.011,0.1332524127837038,0.48484848484848486
26,8,0,1,4,0,0,0,0,1,15.999,-0.38498534394571804,0.5151515151515151
27,7,0,2,3,0,0,0,0,1,14.007,-0.3458387780462454,0.3939393939393939
28,6,0,3,3,0,0,0,0,0,12.011,0.24873800075834254,0.42424242424242425
29,8,0,1,3,0,0,0,0,0,15.999,-0.27209175165817323,0.45454545454545453
30,6,0,3,4,0,0,0,1,1,12.011,0.1323307868428338,0.45454545454545453
31,8,0,1,4,0,0,0,0,1,15.999,-0.38327715798498846,0.48484848484848486
32,6,0,2,4,0,0,0,0,2,12.011,-0.017869911128735733,0.48484848484848486
33,6,0,2,4,0,0,0,0,2,12.011,-0.05032307454074992,0.5151515151515151
34,6,0,2,4,0,0,0,0,2,12.011,-0.05319577088522712,0.5454545454545454
35,6,0,2,4,0,0,0,0,2,12.011,-0.05330411483708255,0.5757575757575758
36,6,0,2,4,0,0,0,0,2,12.011,-0.05330595804691169,0.6060606060606061
37,6,0,2,4,0,0,0,0,2,12.011,-0.053305972733047505,0.6363636363636364
38,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278901289,0.6666666666666666
39,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278911561,0.696969696969697
40,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.7272727272727273
41,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278911572,0.7575757575757576
42,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536,0.7878787878787878
43,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.8181818181818182
44,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.8484848484848485
45,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.8787878787878788
46,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9090909090909091
47,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9393939393939394
48,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9696969696969697
49,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
