atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,1,1,1,12.011,0.10096203264118436
1,8,0,1,4,0,0,0,0,1,15.999,-0.3883006076531472
2,6,0,2,4,0,0,0,0,2,12.011,0.07136047919864114
3,8,0,1,4,0,0,0,0,1,15.999,-0.3935928597498911
4,6,0,2,4,0,0,0,0,2,12.011,0.08680003259222231
5,8,0,2,4,0,0,0,0,0,15.999,-0.2841830655251979
6,15,0,4,4,0,0,0,1,0,30.974,0.47190783583628737
7,8,0,2,4,0,0,0,0,0,15.999,-0.2829512293933157
8,6,0,2,4,0,0,0,0,2,12.011,0.09906639760350122
9,6,0,3,4,0,0,2,1,1,12.011,0.15953034102602376
10,8,0,2,3,0,0,0,0,0,15.999,-0.45621842036128385
11,6,0,3,3,0,0,0,0,0,12.011,0.3057658216009089
12,6,0,2,4,0,0,0,0,2,12.011,0.04551623840167547
13,6,0,2,4,0,0,0,0,2,12.011,-0.0427831190792017
14,6,0,2,4,0,0,0,0,2,12.011,-0.05274800729363011
15,6,0,2,4,0,0,0,0,2,12.011,-0.05329057095480217
16,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236609371
17,6,0,2,4,0,0,0,0,2,12.011,-0.05330597256131809
18,6,0,2,4,0,0,0,0,2,12.011,-0.0533061450573038
19,6,0,2,4,0,0,0,0,2,12.011,-0.053316032269844583
20,6,0,2,4,0,0,0,0,2,12.011,-0.0535686427246432
21,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
22,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
23,8,0,1,3,0,0,0,0,0,15.999,-0.25228433694092306
24,6,0,2,4,0,0,0,0,2,12.011,0.1305566763232179
25,8,0,2,3,0,0,0,0,0,15.999,-0.46162817343596213
26,6,0,3,3,0,0,0,0,0,12.011,0.30541557304048067
27,6,0,2,4,0,0,0,0,2,12.011,0.045503081092782956
28,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097684
29,6,0,2,4,0,0,0,0,2,12.011,-0.0527478239612063
30,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203832768
31,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096483504
32,6,0,2,4,0,0,0,0,2,12.011,-0.049825015426065926
33,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461365
34,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614781
35,6,0,2,3,0,0,0,0,1,12.011,-0.08853928216145976
36,6,0,2,4,0,0,0,0,2,12.011,-0.03507346876911375
37,6,0,2,4,0,0,0,0,2,12.011,-0.04982518931521081
38,6,0,2,4,0,0,0,0,2,12.011,-0.05302112295305338
39,6,0,2,4,0,0,0,0,2,12.011,-0.05355769374956196
40,6,0,2,4,0,0,0,0,2,12.011,-0.056171482041511185
41,6,0,1,4,0,0,0,0,3,12.011,-0.06538238175449311
42,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155829826
43,8,0,1,3,0,0,0,0,0,15.999,-0.22811485787121957
44,8,0,1,4,0,0,0,0,1,15.999,-0.3024927280727888
