atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831715049,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056160718143793045,0.02631578947368421
2,6,0,2,4,0,0,0,0,2,12.011,-0.053273730445580876,0.05263157894736842
3,6,0,2,4,0,0,0,0,2,12.011,-0.04983507642452942,0.07894736842105263
4,6,0,2,4,0,0,0,0,2,12.011,-0.03507363987292093,0.10526315789473684
5,6,0,2,3,0,0,0,0,1,12.011,-0.08853928355034023,0.13157894736842105
6,6,0,2,3,0,0,0,0,1,12.011,-0.08853928216134328,0.15789473684210525
7,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738462326,0.18421052631578946
8,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606594,0.21052631578947367
9,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096483504,0.23684210526315788
10,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203832768,0.2631578947368421
11,6,0,2,4,0,0,0,0,2,12.011,-0.0527478239612063,0.2894736842105263
12,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097698,0.3157894736842105
13,6,0,2,4,0,0,0,0,2,12.011,0.045503081092636906,0.34210526315789475
14,6,0,3,3,0,0,0,0,0,12.011,0.30541557297050537,0.3684210526315789
15,8,0,1,3,0,0,0,0,0,15.999,-0.2522976415584404,0.39473684210526316
16,8,0,2,3,0,0,0,0,0,15.999,-0.46162819380772513,0.39473684210526316
17,6,0,2,4,0,0,0,0,2,12.011,0.13055430787945388,0.42105263157894735
18,6,0,3,4,0,0,2,1,1,12.011,0.15940082766407826,0.4473684210526316
19,6,0,2,4,0,0,0,0,2,12.011,0.09570182344250244,0.47368421052631576
20,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218,0.5
21,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134,0.5263157894736842
22,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995,0.5526315789473685
23,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724,0.5526315789473685
24,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322,0.5526315789473685
25,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464,0.5789473684210527
26,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672,0.6052631578947368
27,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.631578947368421
28,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6578947368421053
29,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6578947368421053
30,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6578947368421053
31,8,0,2,3,0,0,0,0,0,15.999,-0.45622082289612587,0.47368421052631576
32,6,0,3,3,0,0,0,0,0,12.011,0.3057658044200656,0.5
33,8,0,1,3,0,0,0,0,0,15.999,-0.25228433701321973,0.5263157894736842
34,6,0,2,4,0,0,0,0,2,12.011,0.045516238327529504,0.5263157894736842
35,6,0,2,4,0,0,0,0,2,12.011,-0.04278311907933271,0.5526315789473685
36,6,0,2,4,0,0,0,0,2,12.011,-0.05274800728803735,0.5789473684210527
37,6,0,2,4,0,0,0,0,2,12.011,-0.05329056948500983,0.6052631578947368
38,6,0,2,4,0,0,0,0,2,12.011,-0.05330556732837011,0.631578947368421
39,6,0,2,4,0,0,0,0,2,12.011,-0.05329502225950563,0.6578947368421053
40,6,0,2,4,0,0,0,0,2,12.011,-0.05301106351887899,0.6842105263157895
41,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703072693,0.7105263157894737
42,6,0,2,4,0,0,0,0,2,12.011,-0.03507346739046242,0.7368421052631579
43,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.7631578947368421
44,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.7894736842105263
45,6,0,2,4,0,0,0,0,2,12.011,-0.0350734673904721,0.8157894736842105
46,6,0,2,4,0,0,0,0,2,12.011,-0.049825017035991674,0.8421052631578947
47,6,0,2,4,0,0,0,0,2,12.011,-0.053011064901440766,0.868421052631579
48,6,0,2,4,0,0,0,0,2,12.011,-0.053295196138035676,0.8947368421052632
49,6,0,2,4,0,0,0,0,2,12.011,-0.053315847237370526,0.9210526315789473
50,6,0,2,4,0,0,0,0,2,12.011,-0.05356864125486327,0.9473684210526315
51,6,0,2,4,0,0,0,0,2,12.011,-0.056171667057600655,0.9736842105263158
52,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322278243,1.0
