atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.037037037037037035
2,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.07407407407407407
3,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.1111111111111111
4,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.14814814814814814
5,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.18518518518518517
6,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.2222222222222222
7,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536,0.25925925925925924
8,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.2962962962962963
9,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278910524,0.3333333333333333
10,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278327566,0.37037037037037035
11,6,0,2,4,0,0,0,0,2,12.011,-0.053305971184599135,0.4074074074074074
12,6,0,2,4,0,0,0,0,2,12.011,-0.053305752360840064,0.4444444444444444
13,6,0,2,4,0,0,0,0,2,12.011,-0.05329057095483909,0.48148148148148145
14,6,0,2,4,0,0,0,0,2,12.011,-0.052748007319012094,0.5185185185185185
15,6,0,2,4,0,0,0,0,2,12.011,-0.04278312571761041,0.5555555555555556
16,6,0,2,4,0,0,0,0,2,12.011,0.04551543651624185,0.5925925925925926
17,6,0,3,3,0,0,0,0,0,12.011,0.305724196694596,0.6296296296296297
18,8,0,1,3,0,0,0,0,0,15.999,-0.2522851312901966,0.6666666666666666
19,8,0,2,3,0,0,0,0,0,15.999,-0.4574182458069298,0.6666666666666666
20,6,0,3,4,0,0,2,1,1,12.011,0.1484165615971598,0.7037037037037037
21,6,0,2,4,0,0,0,0,2,12.011,0.08251763915351913,0.7407407407407407
22,8,0,1,4,0,0,0,0,1,15.999,-0.392426594091908,0.7777777777777778
23,6,0,2,4,0,0,0,0,2,12.011,0.0945818623833468,0.7407407407407407
24,8,0,2,4,0,0,0,0,0,15.999,-0.3144246125047117,0.7777777777777778
25,15,0,4,4,0,0,0,1,0,30.974,0.2677121299077514,0.8148148148148148
26,8,0,1,3,0,0,0,0,0,15.999,-0.27632726891290627,0.8518518518518519
27,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173424528844,0.8518518518518519
28,8,0,2,4,0,0,0,0,0,15.999,-0.31248065715254103,0.8518518518518519
29,6,0,2,4,0,0,0,0,2,12.011,0.10428433402380216,0.8888888888888888
30,6,0,2,4,0,0,0,0,2,12.011,0.1022921037074983,0.9259259259259259
31,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.9629629629629629
32,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,1.0
33,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,1.0
34,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,1.0
