atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063182704,0.030303030303030304
2,6,0,2,4,0,0,0,0,2,12.011,-0.05356864271905036,0.06060606060606061
3,6,0,2,4,0,0,0,0,2,12.011,-0.05331603080007222,0.09090909090909091
4,6,0,2,4,0,0,0,0,2,12.011,-0.05330596003058332,0.12121212121212122
5,6,0,2,4,0,0,0,0,2,12.011,-0.05329502519155384,0.15151515151515152
6,6,0,2,4,0,0,0,0,2,12.011,-0.05301105058236724,0.18181818181818182
7,6,0,2,4,0,0,0,0,2,12.011,-0.04982338336898434,0.21212121212121213
8,6,0,2,4,0,0,0,0,2,12.011,-0.03497676143752664,0.24242424242424243
9,6,0,2,3,0,0,0,0,1,12.011,-0.08590738137658051,0.2727272727272727
10,6,0,2,3,0,0,0,0,1,12.011,-0.05806114398063352,0.30303030303030304
11,6,0,3,4,0,0,1,1,1,12.011,0.09449149290386678,0.3333333333333333
12,8,0,1,4,0,0,0,0,1,15.999,-0.3868000298578832,0.36363636363636365
13,6,0,3,4,0,0,2,1,1,12.011,0.08137493044254791,0.36363636363636365
14,6,0,2,4,0,0,0,0,2,12.011,0.06620064777837255,0.3939393939393939
15,8,0,1,4,0,0,0,0,1,15.999,-0.39412363853626337,0.42424242424242425
16,7,0,2,3,0,0,0,0,1,14.007,-0.34810112463423365,0.3939393939393939
17,6,0,3,3,0,0,0,0,0,12.011,0.2198919081899605,0.42424242424242425
18,8,0,1,3,0,0,0,0,0,15.999,-0.2751320086359683,0.45454545454545453
19,6,0,2,4,0,0,0,0,2,12.011,0.026476551503076064,0.45454545454545453
20,6,0,2,4,0,0,0,0,2,12.011,-0.044496077941423316,0.48484848484848486
21,6,0,2,4,0,0,0,0,2,12.011,-0.052812493042968645,0.5151515151515151
22,6,0,2,4,0,0,0,0,2,12.011,-0.05329166571213525,0.5454545454545454
23,6,0,2,4,0,0,0,0,2,12.011,-0.05330576107435889,0.5757575757575758
24,6,0,2,4,0,0,0,0,2,12.011,-0.05330597121778762,0.6060606060606061
25,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278333657,0.6363636363636364
26,6,0,2,4,0,0,0,0,2,12.011,-0.053305972789105295,0.6666666666666666
27,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.696969696969697
28,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.7272727272727273
29,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278911572,0.7575757575757576
30,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536,0.7878787878787878
31,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.8181818181818182
32,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.8484848484848485
33,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.8787878787878788
34,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9090909090909091
35,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9393939393939394
36,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9696969696969697
37,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
