atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,2,1,1,12.011,0.15940082766407826
1,6,0,2,4,0,0,0,0,2,12.011,0.09570182344250244
2,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218
3,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134
4,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995
5,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724
6,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322
7,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464
8,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672
9,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864
10,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
11,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
12,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802
13,8,0,2,3,0,0,0,0,0,15.999,-0.45622082289612587
14,6,0,3,3,0,0,0,0,0,12.011,0.3057658044200764
15,6,0,2,4,0,0,0,0,2,12.011,0.04551623833314572
16,6,0,2,4,0,0,0,0,2,12.011,-0.0427831176093492
17,6,0,2,4,0,0,0,0,2,12.011,-0.052747822261623833
18,6,0,2,4,0,0,0,0,2,12.011,-0.05327962202629522
19,6,0,2,4,0,0,0,0,2,12.011,-0.05301084160697741
20,6,0,2,4,0,0,0,0,2,12.011,-0.0498248268029646
21,6,0,2,4,0,0,0,0,2,12.011,-0.03506221354173479
22,6,0,2,3,0,0,0,0,1,12.011,-0.0882274828770543
23,6,0,2,3,0,0,0,0,1,12.011,-0.08475265144870633
24,6,0,2,4,0,0,0,0,2,12.011,-0.01691858977375192
25,6,0,2,3,0,0,0,0,1,12.011,-0.08475265281777868
26,6,0,2,3,0,0,0,0,1,12.011,-0.08822765799015873
27,6,0,2,4,0,0,0,0,2,12.011,-0.035072280993738617
28,6,0,2,4,0,0,0,0,2,12.011,-0.05008745858120618
29,6,0,2,4,0,0,0,0,2,12.011,-0.05587672084071658
30,6,0,1,4,0,0,0,0,3,12.011,-0.0653714342870529
31,8,0,1,3,0,0,0,0,0,15.999,-0.25228433701321973
32,6,0,2,4,0,0,0,0,2,12.011,0.13055430787945388
33,8,0,2,3,0,0,0,0,0,15.999,-0.46162819380772513
34,6,0,3,3,0,0,0,0,0,12.011,0.30541557297049465
35,6,0,2,4,0,0,0,0,2,12.011,0.045503081087020676
36,6,0,2,4,0,0,0,0,2,12.011,-0.04278333797097075
37,6,0,2,4,0,0,0,0,2,12.011,-0.052748008993202346
38,6,0,2,4,0,0,0,0,2,12.011,-0.05329057096117631
39,6,0,2,4,0,0,0,0,2,12.011,-0.053305752360861304
40,6,0,2,4,0,0,0,0,2,12.011,-0.05330597118985283
41,6,0,2,4,0,0,0,0,2,12.011,-0.05330597415999462
42,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063133366
43,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505
44,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206
45,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945
46,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
47,8,0,1,3,0,0,0,0,0,15.999,-0.2522976415584404
