atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,3,4,0,0,2,1,1,12.011,0.15940082767056282,0.4358974358974359
1,6,0,2,4,0,0,0,0,2,12.011,0.09570182344251539,0.46153846153846156
2,8,0,2,4,0,0,0,0,0,15.999,-0.3143765704279218,0.48717948717948717
3,15,0,4,4,0,0,0,1,0,30.974,0.26771287042628134,0.5128205128205128
4,8,0,1,3,0,0,0,0,0,15.999,-0.27632726281919995,0.5384615384615384
5,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173385699724,0.5384615384615384
6,8,0,2,4,0,0,0,0,0,15.999,-0.3124806532907322,0.5384615384615384
7,6,0,2,4,0,0,0,0,2,12.011,0.104284334043464,0.5641025641025641
8,6,0,2,4,0,0,0,0,2,12.011,0.10229210370753672,0.5897435897435898
9,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.6153846153846154
10,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6410256410256411
11,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6410256410256411
12,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.6410256410256411
13,8,0,2,3,0,0,0,0,0,15.999,-0.4562208228961128,0.41025641025641024
14,6,0,3,3,0,0,0,0,0,12.011,0.3057658044200764,0.38461538461538464
15,6,0,2,4,0,0,0,0,2,12.011,0.04551623833314572,0.358974358974359
16,6,0,2,4,0,0,0,0,2,12.011,-0.0427831176093492,0.3333333333333333
17,6,0,2,4,0,0,0,0,2,12.011,-0.05274782226163418,0.3076923076923077
18,6,0,2,4,0,0,0,0,2,12.011,-0.0532796220319439,0.28205128205128205
19,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096471874,0.2564102564102564
20,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606592,0.23076923076923078
21,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461365,0.20512820512820512
22,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614781,0.1794871794871795
23,6,0,2,3,0,0,0,0,1,12.011,-0.08853928216145976,0.15384615384615385
24,6,0,2,4,0,0,0,0,2,12.011,-0.03507346876911375,0.1282051282051282
25,6,0,2,4,0,0,0,0,2,12.011,-0.04982518931521081,0.10256410256410256
26,6,0,2,4,0,0,0,0,2,12.011,-0.05302112295305338,0.07692307692307693
27,6,0,2,4,0,0,0,0,2,12.011,-0.05355769374956196,0.05128205128205128
28,6,0,2,4,0,0,0,0,2,12.011,-0.056171482041511185,0.02564102564102564
29,6,0,1,4,0,0,0,0,3,12.011,-0.06538238175449311,0.0
30,8,0,1,3,0,0,0,0,0,15.999,-0.25228433701321973,0.41025641025641024
31,6,0,2,4,0,0,0,0,2,12.011,0.13055430946910393,0.46153846153846156
32,8,0,2,3,0,0,0,0,0,15.999,-0.4616280577987116,0.48717948717948717
33,6,0,3,3,0,0,0,0,0,12.011,0.30542713053207515,0.5128205128205128
34,6,0,2,4,0,0,0,0,2,12.011,0.04579700843431358,0.5384615384615384
35,6,0,2,4,0,0,0,0,2,12.011,-0.03930444194169527,0.5641025641025641
36,6,0,2,4,0,0,0,0,2,12.011,-0.03450404626529186,0.5897435897435898
37,6,0,2,3,0,0,0,0,1,12.011,-0.08821173651239446,0.6153846153846154
38,6,0,2,3,0,0,0,0,1,12.011,-0.08475223916904384,0.6410256410256411
39,6,0,2,4,0,0,0,0,2,12.011,-0.016907327115851974,0.6666666666666666
40,6,0,2,3,0,0,0,0,1,12.011,-0.08444087540915313,0.6923076923076923
41,6,0,2,3,0,0,0,0,1,12.011,-0.0844406852340394,0.717948717948718
42,6,0,2,4,0,0,0,0,2,12.011,-0.016896067696441162,0.7435897435897436
43,6,0,2,3,0,0,0,0,1,12.011,-0.08444068523404982,0.7692307692307693
44,6,0,2,3,0,0,0,0,1,12.011,-0.0844408754150933,0.7948717948717948
45,6,0,2,4,0,0,0,0,2,12.011,-0.016907328725840734,0.8205128205128205
46,6,0,2,3,0,0,0,0,1,12.011,-0.0847524597925529,0.8461538461538461
47,6,0,2,3,0,0,0,0,1,12.011,-0.08822748279093615,0.8717948717948718
48,6,0,2,4,0,0,0,0,2,12.011,-0.03506238602438802,0.8974358974358975
49,6,0,2,4,0,0,0,0,2,12.011,-0.049834887801403216,0.9230769230769231
50,6,0,2,4,0,0,0,0,2,12.011,-0.05327372895608925,0.9487179487179487
51,6,0,2,4,0,0,0,0,2,12.011,-0.056160718138144945,0.9743589743589743
52,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831714015,1.0
53,8,0,1,3,0,0,0,0,0,15.999,-0.25229742278647466,0.5384615384615384
