atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538219831715049,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056160718143793045,0.02857142857142857
2,6,0,2,4,0,0,0,0,2,12.011,-0.053273730445580876,0.05714285714285714
3,6,0,2,4,0,0,0,0,2,12.011,-0.04983507642452942,0.08571428571428572
4,6,0,2,4,0,0,0,0,2,12.011,-0.03507363987292093,0.11428571428571428
5,6,0,2,3,0,0,0,0,1,12.011,-0.08853928355034023,0.14285714285714285
6,6,0,2,3,0,0,0,0,1,12.011,-0.08853928216134328,0.17142857142857143
7,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738462326,0.2
8,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606592,0.22857142857142856
9,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096471874,0.2571428571428571
10,6,0,2,4,0,0,0,0,2,12.011,-0.0532796220319439,0.2857142857142857
11,6,0,2,4,0,0,0,0,2,12.011,-0.05274782226163406,0.3142857142857143
12,6,0,2,4,0,0,0,0,2,12.011,-0.042783117609207943,0.34285714285714286
13,6,0,2,4,0,0,0,0,2,12.011,0.045516238407291715,0.37142857142857144
14,6,0,3,3,0,0,0,0,0,12.011,0.30576582160091964,0.4
15,8,0,1,3,0,0,0,0,0,15.999,-0.25228433694092306,0.42857142857142855
16,8,0,2,3,0,0,0,0,0,15.999,-0.4562184203612838,0.42857142857142855
17,6,0,3,4,0,0,2,1,1,12.011,0.15953034102602376,0.45714285714285713
18,6,0,2,4,0,0,0,0,2,12.011,0.1305566763232179,0.4857142857142857
19,8,0,2,3,0,0,0,0,0,15.999,-0.46162817343596213,0.5142857142857142
20,6,0,3,3,0,0,0,0,0,12.011,0.30541557304048067,0.5428571428571428
21,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155829826,0.5714285714285714
22,6,0,2,4,0,0,0,0,2,12.011,0.045503081092782956,0.5714285714285714
23,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097684,0.6
24,6,0,2,4,0,0,0,0,2,12.011,-0.0527478239612063,0.6285714285714286
25,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203832768,0.6571428571428571
26,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096483504,0.6857142857142857
27,6,0,2,4,0,0,0,0,2,12.011,-0.049825015426065926,0.7142857142857143
28,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364,0.7428571428571429
29,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828,0.7714285714285715
30,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215615858,0.8
31,6,0,2,4,0,0,0,0,2,12.011,-0.03507346739572399,0.8285714285714286
32,6,0,2,4,0,0,0,0,2,12.011,-0.049825018407587185,0.8571428571428571
33,6,0,2,4,0,0,0,0,2,12.011,-0.05301123579864953,0.8857142857142857
34,6,0,2,4,0,0,0,0,2,12.011,-0.05330508334302209,0.9142857142857143
35,6,0,2,4,0,0,0,0,2,12.011,-0.05356845769210082,0.9428571428571428
36,6,0,2,4,0,0,0,0,2,12.011,-0.05617166559353792,0.9714285714285714
37,6,0,1,4,0,0,0,0,3,12.011,-0.06538238321720632,1.0
38,6,0,2,4,0,0,0,0,2,12.011,0.09906639760350122,0.4857142857142857
39,8,0,2,4,0,0,0,0,0,15.999,-0.2829512293933157,0.5142857142857142
40,15,0,4,4,0,0,0,1,0,30.974,0.47190783583628737,0.5428571428571428
41,8,0,1,3,0,0,0,0,0,15.999,-0.22811485787121957,0.5714285714285714
42,8,0,1,4,0,0,0,0,1,15.999,-0.3024927280727888,0.5714285714285714
43,8,0,2,4,0,0,0,0,0,15.999,-0.2841830655251979,0.5714285714285714
44,6,0,2,4,0,0,0,0,2,12.011,0.08680003259222231,0.6
45,6,0,3,4,0,0,1,1,1,12.011,0.10096203264118436,0.6285714285714286
46,8,0,1,4,0,0,0,0,1,15.999,-0.3883006076531472,0.6571428571428571
47,6,0,2,4,0,0,0,0,2,12.011,0.07136047919864114,0.6571428571428571
48,8,0,1,4,0,0,0,0,1,15.999,-0.3935928597498911,0.6857142857142857
