atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge
0,6,0,3,4,0,0,1,1,1,12.011,0.10096203264118436
1,8,0,1,4,0,0,0,0,1,15.999,-0.3883006076531472
2,6,0,2,4,0,0,0,0,2,12.011,0.07136047919864114
3,8,0,1,4,0,0,0,0,1,15.999,-0.3935928597498911
4,6,0,2,4,0,0,0,0,2,12.011,0.08680003259222231
5,8,0,2,4,0,0,0,0,0,15.999,-0.2841830655251979
6,15,0,4,4,0,0,0,1,0,30.974,0.47190783583628737
7,8,0,2,4,0,0,0,0,0,15.999,-0.2829512293933157
8,6,0,2,4,0,0,0,0,2,12.011,0.09906639760350122
9,6,0,3,4,0,0,2,1,1,12.011,0.15953034102602376
10,8,0,2,3,0,0,0,0,0,15.999,-0.4562184203612838
11,6,0,3,3,0,0,0,0,0,12.011,0.30576582160091964
12,6,0,2,4,0,0,0,0,2,12.011,0.045516238407291715
13,6,0,2,4,0,0,0,0,2,12.011,-0.042783117609207943
14,6,0,2,4,0,0,0,0,2,12.011,-0.05274782226163406
15,6,0,2,4,0,0,0,0,2,12.011,-0.0532796220319439
16,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096471874
17,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606592
18,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364
19,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828
20,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884
21,6,0,2,4,0,0,0,0,2,12.011,-0.035073467390462444
22,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703074705
23,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352997276
24,6,0,2,4,0,0,0,0,2,12.011,-0.053295025240741124
25,6,0,2,4,0,0,0,0,2,12.011,-0.053305960030673456
26,6,0,2,4,0,0,0,0,2,12.011,-0.053316030800072294
27,6,0,2,4,0,0,0,0,2,12.011,-0.05356864271905036
28,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063182704
29,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266
30,8,0,1,3,0,0,0,0,0,15.999,-0.25228433694092306
31,6,0,2,4,0,0,0,0,2,12.011,0.1305566763232179
32,8,0,2,3,0,0,0,0,0,15.999,-0.46162817343596213
33,6,0,3,3,0,0,0,0,0,12.011,0.30541557304048067
34,6,0,2,4,0,0,0,0,2,12.011,0.045503081092782956
35,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097684
36,6,0,2,4,0,0,0,0,2,12.011,-0.0527478239612063
37,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203832768
38,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096483504
39,6,0,2,4,0,0,0,0,2,12.011,-0.049825015426065926
40,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364
41,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828
42,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215615858
43,6,0,2,4,0,0,0,0,2,12.011,-0.03507346739572399
44,6,0,2,4,0,0,0,0,2,12.011,-0.049825018407587185
45,6,0,2,4,0,0,0,0,2,12.011,-0.05301123579864953
46,6,0,2,4,0,0,0,0,2,12.011,-0.05330508334302209
47,6,0,2,4,0,0,0,0,2,12.011,-0.05356845769210082
48,6,0,2,4,0,0,0,0,2,12.011,-0.05617166559353792
49,6,0,1,4,0,0,0,0,3,12.011,-0.06538238321720632
50,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155829826
51,8,0,1,3,0,0,0,0,0,15.999,-0.22811485787121957
52,8,0,1,4,0,0,0,0,1,15.999,-0.3024927280727888
