atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,3,4,0,0,2,1,1,12.011,0.14869064564846876,0.5384615384615384
1,6,0,2,4,0,0,0,0,2,12.011,0.09459215113211689,0.5641025641025641
2,8,0,2,4,0,0,0,0,0,15.999,-0.31442443144744525,0.5897435897435898
3,15,0,4,4,0,0,0,1,0,30.974,0.2677121311722538,0.6153846153846154
4,8,0,1,3,0,0,0,0,0,15.999,-0.27632726890801423,0.6410256410256411
5,8,-1,1,4,0,0,0,0,0,15.999,-0.7561173424497722,0.6410256410256411
6,8,0,2,4,0,0,0,0,0,15.999,-0.31248065714943674,0.6410256410256411
7,6,0,2,4,0,0,0,0,2,12.011,0.10428433402380975,0.6666666666666666
8,6,0,2,4,0,0,0,0,2,12.011,0.1022921037074983,0.6923076923076923
9,7,1,4,4,0,0,0,0,0,14.007,-0.32899274348262864,0.717948717948718
10,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7435897435897436
11,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7435897435897436
12,6,0,1,4,0,0,0,0,3,12.011,0.06773261220717802,0.7435897435897436
13,8,0,2,3,0,0,0,0,0,15.999,-0.4574076614534676,0.5128205128205128
14,6,0,3,3,0,0,0,0,0,12.011,0.3057243520683438,0.48717948717948717
15,6,0,2,4,0,0,0,0,2,12.011,0.04551543789155314,0.46153846153846156
16,6,0,2,4,0,0,0,0,2,12.011,-0.04278312424225952,0.4358974358974359
17,6,0,2,4,0,0,0,0,2,12.011,-0.052747822287006224,0.41025641025641024
18,6,0,2,4,0,0,0,0,2,12.011,-0.053279622031990465,0.38461538461538464
19,6,0,2,4,0,0,0,0,2,12.011,-0.05301084309647192,0.358974358974359
20,6,0,2,4,0,0,0,0,2,12.011,-0.04982501542606592,0.3333333333333333
21,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364,0.3076923076923077
22,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828,0.28205128205128205
23,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.2564102564102564
24,6,0,2,4,0,0,0,0,2,12.011,-0.035073467390462444,0.23076923076923078
25,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703073741,0.20512820512820512
26,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352472871,0.1794871794871795
27,6,0,2,4,0,0,0,0,2,12.011,-0.05329502386927587,0.15384615384615385
28,6,0,2,4,0,0,0,0,2,12.011,-0.053305789133364485,0.1282051282051282
29,6,0,2,4,0,0,0,0,2,12.011,-0.05330614359336111,0.10256410256410256
30,6,0,2,4,0,0,0,0,2,12.011,-0.053316032264262195,0.07692307692307693
31,6,0,2,4,0,0,0,0,2,12.011,-0.05356864272463295,0.05128205128205128
32,6,0,2,4,0,0,0,0,2,12.011,-0.05617166706319294,0.02564102564102564
33,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,0.0
34,8,0,1,3,0,0,0,0,0,15.999,-0.2522851299479825,0.5128205128205128
35,6,0,2,4,0,0,0,0,2,12.011,0.08600497177495522,0.5641025641025641
36,8,0,2,4,0,0,0,0,0,15.999,-0.37750867283432743,0.5897435897435898
37,6,0,2,4,0,0,0,0,2,12.011,0.04674735016293119,0.6153846153846154
38,6,0,2,4,0,0,0,0,2,12.011,-0.029600174826760053,0.6410256410256411
39,6,0,2,4,0,0,0,0,2,12.011,-0.051114173426472155,0.6666666666666666
40,6,0,2,4,0,0,0,0,2,12.011,-0.0532217520646412,0.6923076923076923
41,6,0,2,4,0,0,0,0,2,12.011,-0.05330452823251432,0.717948717948718
42,6,0,2,4,0,0,0,0,2,12.011,-0.053305961236200426,0.7435897435897436
43,6,0,2,4,0,0,0,0,2,12.011,-0.053305972745012115,0.7692307692307693
44,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727890347,0.7948717948717948
45,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912529,0.8205128205128205
46,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.8461538461538461
47,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.8717948717948718
48,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.8974358974358975
49,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.9230769230769231
50,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.9487179487179487
51,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.9743589743589743
52,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
