atom_idx,atomic_num,formal_charge,degree,hybridization,is_aromatic,is_in_ring,chiral_tag,chirality_possible,total_num_hs,mass,gasteiger_charge,chain_rank
0,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,0.0
1,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063182704,0.025
2,6,0,2,4,0,0,0,0,2,12.011,-0.05356864271905036,0.05
3,6,0,2,4,0,0,0,0,2,12.011,-0.053316030800072294,0.075
4,6,0,2,4,0,0,0,0,2,12.011,-0.053305960030673456,0.1
5,6,0,2,4,0,0,0,0,2,12.011,-0.053295025240741124,0.125
6,6,0,2,4,0,0,0,0,2,12.011,-0.05301106352997276,0.15
7,6,0,2,4,0,0,0,0,2,12.011,-0.04982501703074705,0.175
8,6,0,2,4,0,0,0,0,2,12.011,-0.035073467390462444,0.2
9,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215614884,0.225
10,6,0,2,3,0,0,0,0,1,12.011,-0.08853928215613828,0.25
11,6,0,2,4,0,0,0,0,2,12.011,-0.03507346738461364,0.275
12,6,0,2,4,0,0,0,0,2,12.011,-0.049825015426065926,0.3
13,6,0,2,4,0,0,0,0,2,12.011,-0.053010843096483504,0.325
14,6,0,2,4,0,0,0,0,2,12.011,-0.05327962203832768,0.35
15,6,0,2,4,0,0,0,0,2,12.011,-0.0527478239612063,0.375
16,6,0,2,4,0,0,0,0,2,12.011,-0.04278333650097684,0.4
17,6,0,2,4,0,0,0,0,2,12.011,0.045503081092782956,0.425
18,6,0,3,3,0,0,0,0,0,12.011,0.30541557304048067,0.45
19,8,0,1,3,0,0,0,0,0,15.999,-0.25229764155829826,0.475
20,8,0,2,3,0,0,0,0,0,15.999,-0.46162817343596213,0.475
21,6,0,2,4,0,0,0,0,2,12.011,0.1305566763232179,0.5
22,6,0,3,4,0,0,2,1,1,12.011,0.15953034102602376,0.525
23,6,0,2,4,0,0,0,0,2,12.011,0.09906639760350122,0.55
24,8,0,2,4,0,0,0,0,0,15.999,-0.2829512293933157,0.575
25,15,0,4,4,0,0,0,1,0,30.974,0.47190783583628737,0.6
26,8,0,1,3,0,0,0,0,0,15.999,-0.22811485787121957,0.625
27,8,0,1,4,0,0,0,0,1,15.999,-0.3024927280727888,0.625
28,8,0,2,4,0,0,0,0,0,15.999,-0.2841830655251979,0.625
29,6,0,2,4,0,0,0,0,2,12.011,0.08680003259222231,0.65
30,6,0,3,4,0,0,1,1,1,12.011,0.10096203264118436,0.675
31,8,0,1,4,0,0,0,0,1,15.999,-0.3883006076531472,0.7
32,6,0,2,4,0,0,0,0,2,12.011,0.07136047919864114,0.7
33,8,0,1,4,0,0,0,0,1,15.999,-0.3935928597498911,0.725
34,8,0,2,3,0,0,0,0,0,15.999,-0.45621842036128385,0.55
35,6,0,3,3,0,0,0,0,0,12.011,0.3057658216009089,0.575
36,8,0,1,3,0,0,0,0,0,15.999,-0.25228433694092306,0.6
37,6,0,2,4,0,0,0,0,2,12.011,0.04551623840167547,0.6
38,6,0,2,4,0,0,0,0,2,12.011,-0.0427831190792017,0.625
39,6,0,2,4,0,0,0,0,2,12.011,-0.05274800729363011,0.65
40,6,0,2,4,0,0,0,0,2,12.011,-0.05329057095479251,0.675
41,6,0,2,4,0,0,0,0,2,12.011,-0.05330575236084003,0.7
42,6,0,2,4,0,0,0,0,2,12.011,-0.053305971184599135,0.725
43,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278327566,0.75
44,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278910524,0.775
45,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727891157,0.8
46,6,0,2,4,0,0,0,0,2,12.011,-0.05330597278912536,0.825
47,6,0,2,4,0,0,0,0,2,12.011,-0.0533059727943694,0.85
48,6,0,2,4,0,0,0,0,2,12.011,-0.05330597416583466,0.875
49,6,0,2,4,0,0,0,0,2,12.011,-0.053306145063143844,0.9
50,6,0,2,4,0,0,0,0,2,12.011,-0.05331603226985505,0.925
51,6,0,2,4,0,0,0,0,2,12.011,-0.053568642724643206,0.95
52,6,0,2,4,0,0,0,0,2,12.011,-0.056171667063192945,0.975
53,6,0,1,4,0,0,0,0,3,12.011,-0.06538238322279266,1.0
